game_id,name,no_of_reviews,percent,rates,pegi_rate,price
461830,Adventure Apes and the Mayan Mystery,4,0,1,-,92
462085,RPG Maker VX Ace  G3 Travel Music,0,0,0,-,186
462086,RPG Maker VX Ace  JDB Classical Adventure,0,0,0,-,378
462212,RPG Maker VX Ace  Asian Empires Mini Bundle,1,0,1,-,178
444990,Ad Exitum,4,0,1,-,148
462270,Offworld Trading Company  Almanac DLC,0,0,0,-,0
462351,The Bottom of the Well  Soundtrack and Wallpaper Bonus Pack,4,0,1,-,0
454520,MilitAnt,0,0,0,-,0
462380,Music of the Spheres,1,0,1,-,92
462540,Contraption Maker Mighty Knights Parts  Puzzles Pack,0,0,0,-,0
462670,VRXterminator,4,0,1,-,148
462970,SUPERFIGHT  The Gratis Micro Deck,5,0,1,-,0
462972,SUPERFIGHT  The SDCC 2016 Micro Deck,0,0,0,-,0
369980,Ongaku Zombie Pack,0,0,0,-,22
370110,Ongaku Soundtrack,0,0,0,-,22
370230,InsanZ  KiLL The EnginE,2,0,1,-,22
370330,Welcome To The Untitled Game,0,0,0,-,0
370430,Horizon Shift  Soundtrack,3,0,1,-,92
370450,Space Rogue  Soundtrack,0,0,0,-,178
370530,8Bit Adventures The Forgotten Journey Remastered Edition Demo,3,0,1,-,0
370880,FREE China Theme Pack,4,0,1,-,0
370960,Train Simulator Epic Journeys,0,0,0,-,868
370970,Unlimited Escape 3  4 Double Pack,3,0,1,-,208
371060,Starpoint Gemini 2 Origins,0,0,0,-,0
371070,Janky Tanks Demo,2,0,1,-,0
371120,Discouraged Workers,74,60,3,R,398
390620,An Alien with a Magnet,3,0,1,-,66
371470,Office and apartment buildings US style,0,0,0,-,368
371471,Carset Porsche and Mercedes,0,0,0,-,368
371472,Trans Europ Express VT 115,0,0,0,-,368
371492,VT 115,0,0,0,-,368
371620,SBX Invasion,3,0,1,-,61
371700,Hypership Out of Control 2,0,0,0,-,102
371800,Technobabylon Demo,0,0,0,-,0
371870,Act 3 Soundtrack,0,0,0,-,148
371900,Pillar,8,0,1,-,228
371930,Pillar Original Soundtrack,1,0,1,-,178
372070,Alum Demo,0,0,0,-,0
420461,RTK13  my GAMECITY,0,0,0,G,0
420540,RTK Maker  Face CG RTK13 Set   13,0,0,0,-,0
420730,Fantasy Grounds  5E The Murmuring Fountain,0,0,0,-,102
420731,Fantasy Grounds  5E The Fiddlers Lament,0,0,0,-,102
421200,Demented  Soundtrack,0,0,0,C15,30
421640,A Study in Steampunk Choice by Gaslight Demo,3,0,1,-,0
421780,Monstro Battle Tactics Soundtrack,0,0,0,-,0
421920,Message Quest Original Soundtrack,4,0,1,-,0
422080,OmniBus Demo,0,0,0,-,0
422160,Callys Caves 3 Demo,0,0,0,-,0
422170,Starship Rubicon Demo,1,0,1,-,0
422280,Before The Storm Soundtrack,0,0,0,C12,208
423000,Hybrid Wars  Yana Tesla Radovich,0,0,0,-,0
423130,Community College Hero Trial by Fire Demo,3,0,1,-,0
423330,Pendragon Rising Demo,2,0,1,-,0
423370,3d Engineers Demo,16,31,2,-,0
423450,Choice of Kung Fu Demo,2,0,1,-,0
423670,Agatha Christie The ABC Murders Demo,9,0,1,-,0
423720,Color Chaos,4,0,1,-,30
423780,Zero Gravity,11,63,3,-,0
424070,Hit Tank PRO Demo,4,0,1,-,0
424220,Gigachess Demo,2,0,1,-,0
424240,SodaCity  Original Soundtrack,0,0,0,-,148
424800,The BoX  OST,0,0,0,-,148
424880,EEP 12 Expert,6,0,1,-,0
445140,Smell Of Death,45,68,3,-,186
508940,Escape Lizards,7,0,1,-,138
509020,Sceelix  Procedural Power,8,0,1,-,0
509140,HVR,0,0,0,-,0
509200,Blasting Agent Ultimate Edition OST,0,0,0,-,61
509300,Sumeru Art Book,0,0,0,G,61
509310,ThrounnelVR,2,0,1,-,92
509380,Mech Ace Combat  Trainer Edition,0,0,0,-,0
509520,Jigsaw Puzzle Pack  Pixel Puzzles Ultimate Da Vinci,2,0,1,-,45
509521,Jigsaw Puzzle Pack  Pixel Puzzles Ultimate Rio,0,0,0,-,66
509522,Jigsaw Puzzle Pack  Pixel Puzzles Ultimate Savanna,1,0,1,-,45
509620,Last Stitch Goodnight,3,0,1,-,278
509632,Rocksmith 2014  Anniversary Song Pack,6,0,1,-,449
509636,Rocksmith 2014 Edition  Remastered  2000s Mix Song Pack II,0,0,0,-,239
509652,Rocksmith 2014 Edition  Remastered  Variety Song Pack V,0,0,0,-,299
509658,Rocksmith 2014 Edition  Remastered  UBI30 1986 Song Pack,0,0,0,-,359
509664,Rocksmith 2014 Edition  Remastered  Stevie Ray Vaughan  Double Trouble Song Pack,3,0,1,-,359
509668,Rocksmith 2014 Edition  Remastered  2010s Mix Song Pack II,1,0,1,-,239
509678,Rocksmith 2014 Edition  Remastered  Variety Song Pack VI,1,0,1,-,299
509698,Rocksmith 2014 Edition  Remastered  60s Mix Song Pack II,2,0,1,-,239
